X451Lu_Resist_BR2_1	X451Lu_Resist_BR2_2	X451Lu_Resist_BR3_27r	X451Lu_Resist_BR3_28r	X451Lu_Par_Par13	X451Lu_Par_Par19
MIR6761	0	0	0	0	0	0
MIR6762	0	0	0	1	0	0
MIR6763	2	0	0	0	0	0
MIR6764	4	1	6	1	4	8
MIR6765	0	0	0	0	0	0
MIR6766	0	0	0	2	3	0
MIR6767	4	0	0	2	0	1
MIR6768	0	0	1	5	3	0
MIR6769A	5	0	1	1	2	0
MIR6769B	0	0	0	0	0	0
MIR6770-1	0	0	0	0	0	0
MIR6770-2	0	0	0	0	0	0
MIR6770-3	0	0	0	0	0	0
MIR6771	0	0	0	0	0	0
MIR6772	6	0	2	1	0	1
MIR6773	1	0	0	0	0	0
MIR6774	0	0	0	0	0	0
MIR6775	2	0	6	3	3	3
MIR6776	1	0	1	0	1	0
MIR6777	0	0	0	0	0	0
MIR6778	4	0	5	4	2	2
MIR6779	0	0	0	0	0	0
MIR6780A	0	0	0	0	1	0
MIR6780B	6	0	0	2	3	2
MIR6781	2	1	3	1	0	2
MIR6782	0	0	0	0	0	0
MIR6783	0	0	0	0	1	2
MIR6784	2	0	1	0	1	0
MIR6785	0	0	0	0	0	0
MIR6786	0	0	0	0	0	0
MIR6787	0	0	1	1	0	0
MIR6788	0	0	0	0	0	0
MIR6789	0	0	0	0	0	0
MIR6790	0	0	0	0	0	0
MIR6791	4	0	0	1	3	2
MIR6792	0	0	0	0	0	0
MIR6793	1	0	0	1	0	0
MIR6794	0	0	0	0	0	0
MIR6795	0	0	0	0	0	0
MIR6796	1	0	0	1	0	0
MIR6797	12	4	5	6	6	1
MIR6798	0	0	0	0	0	0
MIR6799	0	0	0	0	0	1
MIR6800	0	0	0	0	0	0
MIR6801	1	0	3	3	3	1
MIR6802	0	0	0	0	0	0
MIR6803	0	0	0	0	0	0
MIR6804	2	0	1	2	1	0
MIR6805	0	0	0	0	0	0
MIR6806	0	0	0	0	1	1
MIR6807	0	0	0	0	0	0
MIR6808	0	0	0	0	0	0
MIR6809	25	9	16	4	11	5
MIR6810	0	0	0	0	0	0
MIR6811	5	1	1	0	0	2
MIR6812	4	0	0	1	0	0
MIR6813	1	0	4	2	1	0
MIR6814	19	5	9	6	11	9
MIR6815	0	0	0	0	0	1
MIR6816	0	0	0	0	0	0
MIR6817	2	1	1	1	0	0
MIR6818	4	1	1	4	1	1
MIR6819	2	0	1	2	1	1
MIR6820	7	1	2	1	5	5
MIR6821	0	0	0	0	0	0
MIR6822	1	0	0	0	0	0
MIR6823	0	2	1	2	0	1
MIR6824	0	0	0	0	0	0
MIR6825	0	0	0	0	0	0
MIR6826	4	0	4	1	0	2
MIR6827	0	0	0	0	0	0
MIR6828	0	0	0	0	0	0
MIR6829	0	0	0	1	0	0
MIR6830	6	0	2	0	0	0
MIR6831	0	0	0	0	0	0
MIR6832	3	1	4	2	1	1
MIR6833	0	0	0	0	0	0
MIR6834	0	0	0	0	0	0
MIR6835	3	0	2	5	3	0
MIR6836	1	0	0	0	0	0
MIR6837	9	2	1	1	2	1
MIR6838	0	0	0	0	0	0
MIR6839	1	0	0	1	1	2
MIR6840	40	7	19	20	29	24
MIR6841	0	0	0	0	0	0
MIR6842	0	0	0	0	0	0
MIR6843	0	0	0	0	0	0
MIR6844	0	0	0	0	0	0
MIR6845	14	0	5	5	4	1
MIR6846	1	0	0	0	0	2
MIR6847	13	1	11	7	5	5
MIR6848	0	0	0	0	0	0
MIR6849	0	0	0	0	0	0
MIR6850	0	0	0	0	0	0
MIR6851	3	0	2	2	0	0
MIR6852	0	0	0	0	0	0
MIR6853	0	0	0	0	0	0
MIR6854	0	0	0	0	0	1
MIR6855	3	0	0	1	1	0
MIR6856	2	0	0	0	0	2
MIR6857	0	0	0	0	0	0
MIR6858	0	0	0	0	0	1
MIR6859-1	0	0	0	0	0	0
MIR6859-2	0	0	0	0	0	0
MIR6859-3	0	0	0	0	0	0
MIR6859-4	0	0	0	0	0	0
MIR6860	0	0	0	0	0	0
MIR6861	0	0	0	0	0	0
MIR6862-1	0	0	0	0	0	0
MIR6862-2	0	0	0	0	0	0
MIR6863	0	0	0	0	0	0
MIR6864	1	0	0	2	1	0
MIR6865	1	0	1	1	0	0
MIR6866	0	0	0	0	0	0
MIR6867	0	0	0	0	2	0
MIR6868	2	0	2	0	0	0
MIR6869	0	0	0	0	0	0
MIR6870	0	0	4	3	0	0
MIR6871	2	0	4	0	3	0
MIR6872	0	0	0	0	0	0
MIR6873	6	3	5	3	1	6
MIR6874	1	1	0	1	0	2
MIR6875	3	0	0	0	0	0
MIR6876	0	0	1	1	0	0
MIR6877	1	1	1	0	0	2
MIR6878	6	0	0	1	1	1
MIR6879	0	0	0	0	0	0
MIR6880	0	0	0	0	0	0
MIR6881	0	0	0	0	1	0
MIR6882	0	0	1	0	0	0
MIR6883	0	0	1	3	1	0
MIR6884	3	1	1	0	0	1
MIR6885	0	0	0	0	0	0
MIR6886	0	0	0	0	0	0
MIR6887	30	2	33	11	22	5
MIR6888	4	2	2	0	1	0
MIR6889	1	0	1	1	0	1
MIR6890	0	0	0	0	0	0
MIR6891	0	0	0	0	0	0
MIR6892	3	0	1	0	0	0
MIR6893	0	0	0	0	0	0
MIR6894	0	0	0	0	0	0
MIR6895	0	1	3	0	0	1
MIR7-1	39	5	24	15	33	30
MIR7-2	0	0	0	0	0	0
MIR7-3	0	0	0	0	0	0
MIR7-3HG	0	0	0	0	0	0
MIR708	0	0	0	0	0	0
MIR7106	1	0	2	2	0	0
MIR7107	2	0	0	0	0	0
MIR7108	0	0	0	0	0	0
MIR7109	2	0	0	0	2	1
MIR711	0	0	0	0	0	0
MIR7110	29	0	3	0	6	6
MIR7111	23	1	21	12	19	23
MIR7112	75	12	24	14	35	42
MIR7113	7	1	3	1	4	2
MIR7114	1	0	0	0	0	0
MIR7150	1	0	0	1	0	1
MIR7151	0	0	0	0	0	0
MIR7152	0	0	0	0	0	0
MIR7153	0	0	0	0	0	0
MIR7154	0	0	0	0	0	0
MIR7155	0	0	0	0	0	0
MIR7156	0	0	0	0	0	0
MIR7157	0	0	0	0	0	0
MIR7158	0	0	0	0	0	0
MIR7159	0	0	0	0	0	0
MIR7160	0	0	0	0	0	0
MIR7161	35	4	21	12	9	2
MIR7162	0	0	0	0	0	0
MIR718	0	0	0	0	0	0
MIR744	2	1	7	0	5	0
MIR7515	0	0	0	0	0	0
MIR7515HG	1	0	0	0	0	0
MIR758	0	0	0	0	0	0
MIR759	0	0	0	0	0	0
MIR760	0	0	0	2	0	0
MIR761	2	0	2	1	0	0
MIR762	6	0	0	0	5	1
MIR762HG	75	12	48	9	58	47
MIR764	0	0	0	0	0	0
MIR7641-1	0	0	0	0	0	0
MIR7641-2	19	38	2	186	37	2
MIR765	4	1	6	3	7	4
MIR766	0	1	3	1	0	1
MIR767	0	0	0	0	0	0
MIR769	2	0	1	1	2	0
MIR770	0	0	0	0	0	0
MIR7702	0	0	0	0	0	0
MIR7703	0	0	0	0	0	0
MIR7704	0	0	0	0	0	0
MIR7705	0	0	0	0	0	0
MIR7706	0	0	0	0	0	0
MIR7843	0	0	0	0	0	0
MIR7844	0	0	0	0	0	0
MIR7845	4	0	3	1	0	0
MIR7846	0	0	0	0	0	0
MIR7847	0	0	0	0	0	0
MIR7848	0	0	0	0	0	0
MIR7849	0	0	0	0	0	0
MIR7850	0	0	0	0	0	0
MIR7851	5	0	4	2	3	2
MIR7852	0	0	0	0	0	0
MIR7853	0	0	5	5	1	3
MIR7854	4	0	0	1	0	1
MIR7855	0	0	0	0	0	0
MIR7856	3	0	3	1	1	3
MIR7973-1	0	0	0	0	0	0
MIR7973-2	0	0	0	0	0	0
MIR7974	3	0	3	1	0	0
MIR7975	0	0	0	0	0	0
MIR7976	6	1	0	1	2	1
MIR7977	0	0	0	0	0	0
MIR7978	0	0	0	0	0	0
MIR802	0	0	1	1	2	0
MIR8052	0	0	0	0	0	0
MIR8053	0	0	0	0	0	0
MIR8054	0	0	0	0	0	0
MIR8055	0	0	0	0	0	0
MIR8056	0	0	0	0	0	0
MIR8057	0	0	0	0	0	0
MIR8058	0	0	0	0	0	0
MIR8059	0	0	0	0	0	0
MIR8060	0	0	0	0	0	0
MIR8061	0	0	0	0	0	0
MIR8062	0	0	0	0	0	0
MIR8063	1	0	3	0	1	0
MIR8064	2	0	2	3	3	0
MIR8065	0	0	0	0	0	0
MIR8066	1	0	0	0	0	1
MIR8067	0	0	0	0	0	0
MIR8068	0	0	0	0	0	0
MIR8069-1	0	0	0	0	0	0
MIR8069-2	0	0	0	0	0	0
MIR8070	0	0	0	0	0	0
MIR8071-1	0	0	0	0	0	0
MIR8071-2	0	0	0	0	0	0
MIR8072	66	12	15	6	21	24
MIR8073	0	0	0	0	0	0
MIR8074	0	0	0	0	0	0
MIR8075	116	19	117	55	50	19
MIR8076	0	0	3	1	1	0
MIR8077	0	0	0	0	0	0
MIR8078	0	0	0	0	0	0
MIR8079	0	0	0	0	0	0
MIR8080	0	0	0	0	0	0
MIR8081	2	0	0	0	0	0
MIR8082	1	0	1	1	0	1
MIR8083	0	0	0	0	0	0
MIR8084	0	0	0	0	0	0
MIR8085	0	0	0	0	0	1
MIR8086	0	0	0	0	0	0
MIR8087	0	0	0	0	0	0
MIR8088	0	0	0	0	0	0
MIR8089	0	0	0	0	0	0
MIR8485	0	0	0	0	0	0
MIR873	0	0	1	0	0	0
MIR874	0	0	0	0	0	0
MIR875	0	0	0	0	0	0
MIR876	0	0	0	0	0	0
MIR877	0	0	0	0	0	0
MIR885	0	0	0	0	0	0
MIR887	5	2	1	6	1	1
MIR888	0	0	0	0	0	0
MIR889	0	0	0	0	0	0
MIR890	0	0	0	0	0	0
MIR891A	0	0	0	0	0	0
MIR891B	0	0	0	0	0	0
MIR892A	0	0	0	0	0	0
MIR892B	0	0	0	0	0	0
MIR892C	0	0	0	0	0	0
MIR9-1	0	0	0	0	0	0
MIR9-2	0	0	0	0	0	0
MIR9-3	0	0	0	0	0	0
MIR920	0	0	0	0	0	0
MIR921	0	0	4	0	0	0
MIR922	0	0	0	0	0	0
MIR924	4	0	0	0	3	0
MIR92A1	0	0	0	0	0	0
MIR92A2	0	0	0	0	0	0
MIR92B	2	1	0	0	1	0
MIR93	7	2	5	2	4	5
MIR933	14	1	5	6	7	4
MIR934	0	0	0	0	0	0
MIR935	0	0	0	0	0	0
MIR936	0	0	0	0	0	0
MIR937	0	0	0	0	0	0
MIR938	0	0	0	0	1	0
MIR939	0	0	0	0	0	0
MIR940	7	6	4	2	0	3
MIR941-1	27	4	27	8	8	3
MIR941-2	0	0	0	0	0	0
MIR941-3	0	0	0	0	0	0
MIR941-4	0	0	0	0	0	0
MIR941-5	0	0	0	0	0	0
MIR942	0	0	8	5	1	2
MIR943	1	0	1	0	0	0
MIR944	0	0	0	0	0	0
MIR95	0	0	0	0	0	0
MIR9500	0	0	0	3	0	0
MIR96	1	1	0	0	0	0
MIR98	4	1	4	6	3	3
MIR99A	2	0	0	2	1	2
MIR99AHG	45	6	31	16	45	29
MIR99B	7	0	1	2	4	1
MIRLET7A1	3	1	2	0	2	2
MIRLET7A2	0	0	0	0	0	1
MIRLET7A3	0	0	0	0	0	0
MIRLET7B	0	0	0	0	0	0
MIRLET7BHG	1265	201	676	492	532	276
MIRLET7C	0	0	0	0	1	2
MIRLET7D	27	5	10	5	25	7
MIRLET7DHG	0	1	0	0	0	1
MIRLET7E	1	1	2	0	0	0
MIRLET7F1	5	3	12	4	6	4
MIRLET7F2	0	0	1	0	0	0
MIRLET7G	2	0	1	1	1	0
MIRLET7I	19	1	12	5	11	14
MIS12	2103	339	2008	1252	1904	1654
MIS18A	2048	276	474	371	1184	1577
MIS18BP1	4661	664	3688	2330	4130	4123
MISP	3	0	0	0	0	0
MITD1	1376	172	756	434	1104	829
MITF	55018	10273	32245	20890	54952	44364
MIXL1	0	0	0	0	0	0
MKI67	26907	3497	5817	7171	13856	14021
MKKS	4629	672	2215	1620	2709	2847
MKL1	2542	306	511	344	702	583
MKL2	1620	259	457	478	932	738
MKLN1	10685	1495	3942	2692	7372	6463
MKLN1-AS	246	43	77	74	208	150
MKNK1	1839	282	688	460	1016	1084
MKNK1-AS1	0	0	0	0	0	0
MKNK2	4231	500	616	428	1902	1979
MKRN1	35546	5750	3220	2187	5784	4589
MKRN2	2726	367	2978	1881	1689	1521
MKRN2OS	0	0	0	0	0	0
MKRN3	453	58	362	213	303	266
MKRN7P	0	0	6	2	2	0
MKRN9P	266	43	23	22	63	61
MKS1	1495	246	649	395	1029	945
MKX	0	0	0	0	0	0
MKX-AS1	0	0	0	0	0	0
MLANA	62571	9745	39566	23267	43091	29637
MLC1	14	5	2	0	4	3
MLEC	23480	3423	8586	6015	10552	10789
MLF1	1112	186	749	410	591	508
MLF2	5802	812	1504	1053	2998	3271
MLH1	2911	416	2097	1164	2070	2206
MLH3	2483	430	2562	1518	2074	1747
MLIP	22	4	7	3	0	4
MLIP-IT1	0	0	0	0	0	0
MLK7-AS1	0	0	0	0	3	0
MLKL	401	60	17	11	310	321
MLLT1	3032	353	655	557	1169	929
MLLT10	2686	357	1144	802	1927	1548
MLLT10P1	8	1	0	0	2	0
MLLT11	514	55	216	125	182	307
MLLT3	764	111	609	414	406	457
MLLT4	8866	1375	3517	2297	5103	4247
MLLT4-AS1	35	8	6	5	13	17
MLLT6	4301	775	786	529	2491	1269
MLN	0	0	0	0	0	0
MLNR	1	1	3	2	0	2
MLPH	17427	2951	5328	3620	8306	4504
MLST8	2416	359	717	470	1321	1064
MLX	3747	547	1057	916	2459	2266
MLXIP	7531	1057	891	654	2015	1357
MLXIPL	1	1	0	0	3	1
MLYCD	849	124	477	288	485	454
MMAA	210	32	83	51	145	138
MMAB	1006	165	400	248	722	640
MMACHC	777	145	631	451	561	642
MMADHC	8433	1278	5974	3443	5967	7488
MMD	2238	321	881	616	1383	1990
MMD2	0	0	0	0	0	0
MME	7658	1023	58	41	7646	10029
MMEL1	5	3	0	0	3	0
MMGT1	1669	210	624	486	1020	1000
MMP1	35	3	29	21	17	19
MMP10	1	2	1	2	3	0
MMP11	47	6	12	5	48	17
MMP12	0	1	0	0	0	0
MMP13	0	0	0	0	1	0
MMP14	57207	7454	11786	7836	20720	16512
MMP15	638	65	146	81	265	233
MMP16	1463	293	2479	1491	1514	1292
MMP17	10988	1272	1355	791	3419	1967
MMP19	0	0	0	0	0	0
MMP2	1004	99	2018	1697	143	53
MMP20	4071	719	1150	759	4532	4193
MMP21	2	0	0	0	0	0
MMP23A	7	2	6	1	9	3
MMP23B	1	0	1	0	0	0
MMP24	10	2	16	11	8	5
MMP24-AS1	1931	236	328	292	953	757
MMP25	50	8	18	9	11	8
MMP25-AS1	30	4	13	9	13	13
MMP26	0	0	0	0	0	0
MMP27	0	0	0	0	0	0
MMP28	0	0	0	0	0	0
MMP3	7	0	4	2	1	2
MMP7	0	0	0	0	0	0
MMP8	2090	260	1085	740	855	1604
MMP9	12	3	4	3	4	0
MMRN1	0	0	0	0	1	1
MMRN2	6	0	2	2	2	3
MMS19	11698	1948	3486	2229	4365	4006
MMS22L	2534	363	1897	1164	1513	2033
MN1	1	0	2	0	0	2
MNAT1	1224	179	869	513	946	1157
MND1	735	103	332	212	639	886
MNDA	0	0	1	0	2	1
MNS1	441	40	219	189	398	364
MNT	1287	206	332	245	544	246
MNX1	367	35	30	22	100	128
MNX1-AS1	113	22	14	13	28	32
MOAP1	2503	414	1537	887	2356	1528
MOB1A	6426	1004	2967	2015	4230	4823
MOB1B	4778	628	1611	1370	4952	3415
MOB2	528	83	198	133	354	250
MOB3A	676	86	105	67	321	213
MOB3B	1420	171	403	270	483	570
MOB3C	878	122	232	142	497	356
MOB4	16	2	13	3	14	18
MOBP	0	0	0	0	0	0
MOCOS	952	132	312	222	796	820
MOCS1	989	142	489	326	509	522
MOCS2	2137	313	1204	774	1353	1450
MOCS3	1300	187	789	445	731	623
MOG	2	0	2	0	0	0
MOGAT1	20	1	10	9	7	19
MOGAT2	0	0	0	0	0	0
MOGAT3	0	0	1	0	0	0
MOGS	6496	957	1404	970	2391	2566
MOK	2520	432	1421	790	2134	1327
MON1A	564	61	185	100	295	285
MON1B	1826	265	519	567	806	660
MON2	4839	706	1789	1393	2774	2676
MORC1	0	3	13	8	3	0
MORC2	1593	300	648	645	796	753
MORC2-AS1	0	0	0	0	0	0
MORC3	5667	844	2789	1624	5382	3747
MORC4	1625	171	645	445	758	632
MORF4L1	7763	1181	3551	2950	4616	3976
MORF4L2	15287	2248	12700	7711	8200	11711
MORF4L2-AS1	14	5	16	16	19	9
MORN1	583	107	214	128	335	269
MORN2	619	107	354	195	438	438
MORN3	15	4	1	0	10	20
MORN4	726	140	154	118	391	316
MORN5	9	2	5	4	9	7
MOS	0	0	0	0	0	0
MOSPD1	1263	217	465	253	881	793
MOSPD2	2460	425	1398	1001	1822	1624
MOSPD3	705	112	102	76	268	265
MOV10	5224	831	665	496	2706	2036
MOV10L1	0	0	0	0	0	0
MOXD1	141	23	9	1	56	38
MOXD2P	0	1	0	0	0	0
MPC1	1535	199	952	534	797	1193
MPC1L	0	0	0	0	0	0
MPC2	2172	319	741	438	1218	1872
MPDU1	3184	455	2672	1602	1852	2143
MPDZ	7159	1168	4498	3293	5230	4339
MPEG1	0	0	0	0	0	0
MPG	3161	559	1163	722	2569	2296
MPHOSPH10	3002	396	1951	1445	2466	2007
MPHOSPH6	979	122	994	592	639	733
MPHOSPH8	4489	729	2475	1937	2506	1979
MPHOSPH9	4891	697	2203	1272	3713	4464
MPI	1804	332	1010	585	1217	1163
MPL	3	1	3	0	1	0
MPLKIP	1075	150	400	348	593	654
MPND	766	126	134	125	451	267
MPO	0	0	0	0	0	0
MPP1	2701	403	1271	825	2101	2294
MPP2	1169	194	348	353	462	571
MPP3	345	55	308	185	208	49
MPP4	2	1	3	3	0	5
MPP5	2300	320	1254	905	1516	1808
MPP6	1521	192	548	527	969	765
MPP7	31	1	9	2	26	21
MPPE1	479	71	481	273	343	272
MPPED1	0	0	0	0	1	0
MPPED2	327	58	93	60	186	145
MPRIP	17950	2530	5464	4280	8427	7744
MPST	3743	525	1262	705	1890	1393
MPV17	4065	701	1343	891	1876	1525
MPV17L	0	0	0	0	0	0
MPV17L2	491	79	277	171	229	318
MPZ	825	81	2790	1732	61	211
MPZL1	12133	1835	5447	3402	5441	5026
MPZL2	3	0	1	0	0	0
MPZL3	0	0	0	0	1	2
MR1	1669	295	563	306	776	824
MRAP	0	0	0	0	0	0
MRAP2	93	10	16	16	107	147
MRAS	3264	530	1437	937	2466	2401
MRC1	9	0	10	8	3	2
MRC2	1777	332	134	88	346	379
MRE11A	3225	464	1778	1057	2600	2497
MREG	6522	1184	3374	2167	4105	3900
MRFAP1	4732	645	3205	3241	2356	2296
MRFAP1L1	1192	183	1399	865	990	786
MRGBP	3686	567	1850	1175	2161	2612
MRGPRD	0	0	0	0	0	0
MRGPRE	0	0	0	0	0	0
MRGPRF	1	0	0	0	0	1
MRGPRF-AS1	0	0	0	0	0	0
MRGPRG	0	0	0	0	0	0
MRGPRG-AS1	0	0	0	0	0	0
MRGPRX1	0	0	0	0	0	0
MRGPRX2	0	0	0	0	0	0
MRGPRX3	0	0	0	0	0	1
MRGPRX4	1	0	9	3	1	0
MRI1	1794	320	677	437	1208	935
MRLN	3	0	0	0	1	0
MRM1	352	57	224	128	177	145
MRO	211	50	33	24	79	165
MROH1	3652	528	564	415	1773	1183
MROH2A	5	1	1	0	1	1
MROH2B	0	0	0	0	0	0
MROH5	0	0	0	0	0	0
MROH6	152	23	45	25	65	60
MROH7	0	0	0	1	0	0
MROH7-TTC4	1	0	0	1	0	0
MROH8	106	21	64	35	70	56
MROH9	1	0	2	0	0	1
MRPL1	490	71	596	347	642	653
MRPL10	5811	924	2046	1358	3287	2687
MRPL11	1832	279	950	495	1472	1677
MRPL12	4075	451	1009	1383	2624	2161
MRPL13	3342	469	2590	1450	2408	3403
MRPL14	1375	231	778	471	1145	1187
MRPL15	3292	466	2483	1652	2504	2917
MRPL16	2334	363	1194	720	1737	1807
MRPL17	2778	474	1354	743	2121	2011
MRPL18	2529	365	1741	1018	1616	2075
MRPL19	5627	730	3082	1861	3157	4070
MRPL2	1362	209	407	365	825	869
MRPL20	3376	435	1662	960	2209	2032
MRPL21	1906	314	1259	656	1585	1632
MRPL22	1774	313	636	471	1224	1154
MRPL23	1470	223	720	399	1539	1478
MRPL23-AS1	0	0	0	0	0	0
MRPL24	3529	582	1327	752	3241	2841
MRPL27	2742	413	1566	898	2203	2105
MRPL28	2659	381	986	599	1669	1978
MRPL3	8557	1234	4326	2505	6164	6914
MRPL30	6075	995	3310	1990	5201	4414
MRPL32	1306	188	1000	618	1143	973
MRPL33	2122	327	1166	623	1622	1456
MRPL34	1599	230	617	434	1041	1000
MRPL35	6271	945	4786	2938	4438	4974
MRPL36	1048	180	999	606	844	834
MRPL37	11127	1557	3537	2175	5384	6314
MRPL38	3600	433	1293	1051	2407	2475
MRPL39	2217	298	1081	626	1792	2087
MRPL4	2365	262	531	478	1103	970
MRPL40	3354	437	2048	1252	2499	3004
MRPL41	1820	215	585	351	1206	1330
MRPL42	3039	439	1452	880	2327	2409
MRPL42P5	0	0	0	2	0	0
MRPL43	3255	465	1040	593	1583	1294
MRPL44	4517	675	2462	1616	2935	2894
MRPL45	1813	315	815	451	1282	1068
MRPL45P2	511	80	259	184	429	254
MRPL46	972	134	892	556	783	693
MRPL47	3282	467	1839	1131	2168	2732
MRPL48	5278	877	3149	1982	4592	3582
MRPL49	3515	536	1462	922	2480	2277
MRPL50	1520	201	1042	622	1110	1140
MRPL51	5015	734	2538	1459	3669	4029
MRPL52	1483	210	803	546	988	931
MRPL53	1692	236	572	372	1250	996
MRPL54	402	54	230	96	447	309
MRPL55	1155	121	357	202	653	692
MRPL57	3045	419	2154	1299	1710	1667
MRPL9	3505	515	1235	721	2332	2615
MRPS10	2747	359	1208	804	1812	2110
MRPS11	1549	231	1285	776	1228	1280
MRPS12	1599	230	657	452	931	968
MRPS14	1159	196	695	379	842	768
MRPS15	4964	743	2424	1378	3722	4028
MRPS16	6943	1021	2980	1916	3988	4761
MRPS17	952	152	606	377	783	811
MRPS18A	2002	319	1088	623	1352	1381
MRPS18B	6527	1038	3228	1905	4375	4679
MRPS18C	913	140	625	395	803	973
MRPS2	2800	372	1004	659	1485	1497
MRPS21	4080	671	1517	832	3508	3050
MRPS22	2128	275	1495	862	1659	1913
MRPS23	4225	645	2732	1621	3517	3602
MRPS24	15	1	3	6	3	5
MRPS25	5520	898	3621	2191	4184	3429
MRPS26	3120	422	1970	1084	2430	2104
MRPS27	5479	848	2991	1843	3617	3145
MRPS28	1607	252	1303	866	1081	1239
MRPS30	3710	474	2914	1758	2383	2635
MRPS31	1526	221	1287	784	972	854
MRPS31P5	751	119	503	317	426	310
MRPS33	8699	1336	1185	687	2221	2007
MRPS34	3242	458	1797	1170	2412	2144
MRPS35	5076	622	2627	1683	3571	3793
MRPS36	935	149	804	490	720	874
MRPS5	4683	708	3044	1919	3211	4043
MRPS6	2340	528	617	534	1166	1457
MRPS7	4609	678	3255	1985	4238	4635
MRPS9	3940	538	1957	1232	2468	2800
MRRF	1458	254	776	461	1132	879
MRS2	2671	370	1518	967	2005	2155
MRS2P2	10	4	4	4	7	13
MRTO4	3505	573	2689	1572	2697	2498
MRVI1	1	0	0	0	0	0
MRVI1-AS1	1	1	2	2	3	1
MS4A1	0	0	0	0	0	0
MS4A10	0	0	0	0	0	0
MS4A12	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0
MS4A14	3	0	2	0	2	0
MS4A15	0	0	0	0	0	0
MS4A2	3	0	0	0	1	3
MS4A3	0	0	0	0	0	0
MS4A4A	0	0	0	0	0	0
MS4A5	0	0	0	0	0	0
MS4A6A	2	0	1	1	0	1
MS4A6E	1	0	1	0	0	0
MS4A7	37	6	17	9	18	13
MS4A8	0	0	0	0	0	0
MSANTD1	0	0	3	1	1	1
MSANTD2	434	61	225	135	233	229
MSANTD3	2329	329	1070	669	1462	1341
MSANTD3-TMEFF1	0	0	2	0	1	0
MSANTD4	3963	616	1450	925	2945	2291
MSC	1302	159	387	232	842	588
MSC-AS1	1228	198	204	182	773	643
MSGN1	0	0	0	0	0	0
MSH2	7441	1023	4489	2843	6290	6245
MSH3	1974	300	1208	879	1449	1463
MSH4	41	2	26	18	12	8
MSH5	15	2	9	5	18	12
MSH5-SAPCD1	10	3	8	4	12	7
MSH6	14172	1978	6895	4472	9512	10405
MSI1	60	10	14	13	3	0
MSI2	5575	884	1670	1236	3537	2982
MSL1	3256	397	1054	662	1358	1463
MSL2	2936	387	609	558	1663	1126
MSL3	781	139	671	477	476	483
MSL3P1	1313	212	992	553	973	849
MSLN	0	0	0	0	0	0
MSMB	0	0	0	0	0	0
MSMO1	3735	548	1107	682	1693	2040
MSMP	0	0	0	0	0	0
MSN	48169	8030	15480	11156	21120	17172
MSR1	0	1	0	0	0	0
MSRA	314	40	103	92	179	131
MSRB1	1133	154	188	211	341	333
MSRB2	2530	426	693	456	1815	1049
MSRB3	1424	222	464	290	695	397
MSS51	46	7	49	34	36	42
MST1	142	24	61	39	150	29
MST1L	113	28	50	43	137	52
MST1P2	167	33	73	54	192	71
MST1R	3	1	1	1	0	2
MSTN	0	0	1	0	0	0
MSTO1	138	10	52	47	128	77
MSTO2P	1810	320	602	451	1527	1119
MSX1	201	25	285	159	88	126
MSX2	453	65	187	108	195	195
MSX2P1	1	0	0	0	0	0
MT1A	0	0	0	0	0	0
MT1B	0	0	0	0	1	0
MT1DP	0	0	0	0	0	0
MT1E	0	0	0	0	2	4
MT1F	140	14	34	15	74	41
MT1G	0	0	0	1	0	1
MT1H	0	0	0	0	0	0
MT1HL1	0	0	0	0	0	0
MT1IP	0	0	0	0	0	0
MT1JP	0	0	0	0	0	0
MT1L	0	0	0	0	0	0
MT1M	0	0	0	0	0	0
MT1X	484	56	161	96	271	158
MT2A	1631	329	330	226	1945	1416
MT3	0	0	0	0	0	0
MT4	0	0	0	0	0	0
MTA1	3066	513	930	723	2142	1428
MTA2	6383	840	2726	1698	3245	3885
MTA3	2927	450	1147	826	1815	1507
MTAP	4646	767	4032	2620	3461	2941
MTBP	1065	172	831	463	928	938
MTCH1	10961	1808	3985	2584	5781	5972
MTCH2	7504	1078	3998	2377	4400	5834
MTCL1	690	81	385	258	430	379
MTCP1	266	51	200	115	222	237
MTDH	19959	2719	16703	11191	13336	14093
MTERF1	1289	173	945	558	1260	1099
MTERF2	579	82	271	189	533	405
MTERF3	1774	258	1264	833	1413	1421
MTERF4	1790	305	998	627	1308	923
MTF1	1230	129	364	356	639	532
MTF2	3511	475	2104	1315	2222	2420
MTFMT	2012	312	1273	770	1471	1563
MTFP1	2095	374	1442	932	1142	1711
MTFR1	4381	555	2354	1612	2311	3605
MTFR1L	3862	613	1357	883	2126	2063
MTFR2	482	61	206	156	189	285
MTG1	1730	289	1012	778	1209	1032
MTG2	2363	389	954	647	1699	1212
MTHFD1	11316	1497	5396	5277	6487	7001
MTHFD1L	2958	428	1580	1158	2931	2594
MTHFD2	13946	2139	6890	4422	19150	17859
MTHFD2L	105	12	65	29	86	61
MTHFD2P1	8	2	0	1	4	6
MTHFR	3671	522	899	732	1699	1114
MTHFS	87	6	44	24	89	73
MTHFSD	688	91	294	218	354	328
MTIF2	5442	743	3918	2410	4011	4592
MTIF3	1536	207	771	412	937	804
MTL5	77	14	16	9	81	69
MTM1	1076	150	605	430	663	713
MTMR1	3529	522	1232	933	1992	1666
MTMR10	2447	345	1097	682	1332	985
MTMR11	222	32	83	73	68	56
