X451Lu_Resist_BR2_1	X451Lu_Resist_BR2_2	X451Lu_Resist_BR3_27r	X451Lu_Resist_BR3_28r	X451Lu_Par_Par13	X451Lu_Par_Par19
ACTR2	24737	3155	6087	7130	13666	13754
ACTR3	20306	2901	10908	7071	12804	15722
ACTR3B	588	105	239	124	239	217
ACTR3BP2	0	0	0	0	0	1
ACTR3BP5	0	0	1	0	0	1
ACTR3C	87	14	24	22	38	35
ACTR5	1052	166	732	502	731	606
ACTR6	1500	213	851	538	1125	1170
ACTR8	1947	284	958	647	1202	1120
ACTRT1	0	0	0	0	0	0
ACTRT2	0	1	0	0	0	0
ACTRT3	21	1	52	29	17	28
ACVR1	1523	222	574	390	833	749
ACVR1B	1390	219	607	420	745	697
ACVR1C	3087	422	759	559	1651	1490
ACVR2A	904	129	556	413	448	354
ACVR2B	3221	585	909	673	1910	1218
ACVR2B-AS1	89	24	27	13	66	40
ACVRL1	8	0	5	0	11	6
ACY1	24	4	11	5	30	23
ACY3	5	0	0	0	2	3
ACYP1	511	94	324	209	444	411
ACYP2	61	12	20	12	48	25
ADA	1177	203	675	490	690	635
ADAD1	0	0	0	0	0	0
ADAD2	0	0	0	0	0	0
ADAL	1074	179	801	470	746	754
ADAM10	12470	1897	8773	6999	7593	7003
ADAM11	350	46	77	71	127	117
ADAM12	50	11	24	15	19	12
ADAM15	8415	1244	1678	1102	3721	3047
ADAM17	4241	590	2748	1823	2440	2883
ADAM18	0	0	0	0	0	0
ADAM19	1727	309	274	212	842	1011
ADAM1A	145	18	148	75	102	61
ADAM2	0	0	0	0	0	0
ADAM20	2	1	3	8	3	3
ADAM20P1	5	1	6	1	0	2
ADAM21	14	0	4	2	8	14
ADAM21P1	1	0	0	0	2	2
ADAM22	423	86	450	266	219	117
ADAM23	5397	673	1682	1166	1941	1625
ADAM28	0	0	0	0	0	0
ADAM29	0	0	0	0	0	0
ADAM30	0	0	0	0	0	0
ADAM32	11	3	6	4	19	16
ADAM33	0	0	0	0	0	1
ADAM3A	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	81	16	13	6	48	19
ADAM9	8866	1191	5496	3738	7297	8528
ADAMDEC1	0	0	0	0	0	0
ADAMTS1	2008	274	781	592	968	1368
ADAMTS10	15	0	2	3	10	4
ADAMTS12	5	0	2	1	0	0
ADAMTS13	331	57	47	40	157	76
ADAMTS14	33	4	12	12	3	5
ADAMTS15	0	0	2	2	0	0
ADAMTS16	9	1	44	27	4	9
ADAMTS17	175	24	72	47	51	46
ADAMTS18	8	9	49	26	9	18
ADAMTS19	0	0	0	0	0	0
ADAMTS19-AS1	0	0	0	0	0	0
ADAMTS2	11	4	5	0	4	0
ADAMTS20	1	0	0	1	1	1
ADAMTS3	25	6	51	28	26	26
ADAMTS4	4	0	8	14	2	1
ADAMTS5	9	0	0	0	0	0
ADAMTS6	6	2	29	16	2	3
ADAMTS7	57	7	4	4	21	16
ADAMTS7P1	0	0	0	0	0	2
ADAMTS8	0	0	0	0	0	0
ADAMTS9	2361	357	1392	957	605	876
ADAMTS9-AS1	0	0	0	0	0	0
ADAMTS9-AS2	72	20	20	9	49	27
ADAMTSL1	0	0	0	0	0	0
ADAMTSL2	13	2	0	0	4	4
ADAMTSL3	22	6	14	5	37	7
ADAMTSL4	3	0	1	1	5	0
ADAMTSL4-AS1	37	11	30	20	23	97
ADAMTSL5	590	72	115	81	256	174
ADAP1	57	9	9	8	21	16
ADAP2	2	0	3	2	2	1
ADAR	25103	3511	6199	4727	12793	11607
ADARB1	1446	172	501	315	706	574
ADARB2	1	0	0	0	0	0
ADARB2-AS1	5	0	0	0	0	0
ADAT1	2195	342	1182	828	1289	1519
ADAT2	583	97	530	345	517	326
ADAT3	165	16	37	37	83	46
ADCK1	566	75	224	127	278	129
ADCK2	6561	1040	808	464	908	989
ADCK3	1962	504	526	316	1570	824
ADCK4	1689	229	421	276	786	753
ADCK5	715	80	233	134	423	319
