Gene	Group
HAGHL	proliferative
TSPAN33	proliferative
NEDD9	proliferative
PLA2G6	proliferative
CGN	proliferative
FAM69B	proliferative
ACACB	proliferative
TRIM2	proliferative
RP11-1055B8.4	proliferative
PRKD3	proliferative
RGS10	proliferative
C21orf91	proliferative
HSD17B14	proliferative
TBC1D16	proliferative
DGCR6	proliferative
FCRLA	proliferative
WDR91	proliferative
GDPD5	proliferative
SLC22A23	proliferative
RP11-3L8.3	proliferative
PDZRN3	proliferative
NR4A1	proliferative
PROS1	proliferative
SS18L1	proliferative
AP1S2	proliferative
TSPAN10	proliferative
BHLHE41	proliferative
CCDC171	proliferative
IL17D	proliferative
PDK4	proliferative
C2orf88	proliferative
PRR5	proliferative
CDK2	proliferative
CTSH	proliferative
MREG	proliferative
FAM124A	proliferative
RP11-558F24.4	proliferative
ASAH1	proliferative
HEY2	proliferative
SDC3	proliferative
RAP1GAP	proliferative
CAPG	proliferative
RAB6B	proliferative
SORT1	proliferative
MXI1	proliferative
PCSK9	proliferative
ST3GAL4	proliferative
APOC1	proliferative
ADAMTS17	proliferative
EPHA5	proliferative
HEY1	proliferative
SLC12A7	proliferative
SH3TC1	proliferative
PAG1	proliferative
RAB38	proliferative
RP11-1055B8.2	proliferative
SCIN	proliferative
LINC00340	proliferative
GAB2	proliferative
CES3	proliferative
DUSP15	proliferative
CYP27A1	proliferative
ATRNL1	proliferative
FAXC	proliferative
HES6	proliferative
KLF15	proliferative
DGCR5	proliferative
AC005786.5	proliferative
INPP5F	proliferative
SGK1	proliferative
NPAS1	proliferative
CYGB	proliferative
PIR	proliferative
CERS1	proliferative
AATK	proliferative
SESN3	proliferative
CDK5R1	proliferative
SCUBE2	proliferative
SLC17A9	proliferative
SLC16A10	proliferative
TMTC2	proliferative
KIAA1598	proliferative
RASSF2	proliferative
MAST1	proliferative
RP11-80F22.9	proliferative
TBC1D7	proliferative
PRKCH	proliferative
PDE3B	proliferative
C19orf71	proliferative
SLAIN1	proliferative
GJA3	proliferative
FAM53B	proliferative
RAB11FIP4	proliferative
BAI1	proliferative
C11orf96	proliferative
SLC27A3	proliferative
FGF13	proliferative
BRSK2	proliferative
EGLN3	proliferative
GNAL	proliferative
CABLES1	proliferative
GPR137B	proliferative
CXADR	proliferative
SHC2	proliferative
ST6GALNAC1	proliferative
FBXL16	proliferative
Z83851.1	proliferative
ASRGL1	proliferative
TNFRSF19	proliferative
CEACAM1	proliferative
SORL1	proliferative
ANKRD6	proliferative
ISG20	proliferative
RIMS4	proliferative
MYOM2	proliferative
LAD1	proliferative
ADRBK2	proliferative
LZTS1	proliferative
RNF125	proliferative
TMEM255A	proliferative
TRPM8	proliferative
FAM20A	proliferative
LONRF3	proliferative
PPM1H	proliferative
SPTBN2	proliferative
TEX41	proliferative
ST6GAL1	proliferative
POU3F3	proliferative
ADAM23	proliferative
ANO4	proliferative
MFSD12	proliferative
RP11-390P2.4	proliferative
ST6GALNAC2	proliferative
RP11-137H2.6	proliferative
OLFM2	proliferative
TMCC2	proliferative
GREB1	proliferative
TTC39A	proliferative
FAM213A	proliferative
KCNS1	proliferative
TNFRSF14	proliferative
STXBP6	proliferative
ITGA7	proliferative
ALDH1A1	proliferative
ZNF704	proliferative
BAMBI	proliferative
PGBD5	proliferative
PRKCZ	proliferative
IL6R	proliferative
PLCL1	proliferative
EGR3	proliferative
ITPKB	proliferative
NAT16	proliferative
LRRC4	proliferative
STOX2	proliferative
OGDHL	proliferative
PIK3AP1	proliferative
PNLIPRP3	proliferative
CNTN3	proliferative
BAAT	proliferative
COL25A1	proliferative
CELF2	proliferative
RASIP1	proliferative
TMEM229B	proliferative
PLEKHG1	proliferative
PKNOX2	proliferative
KRTAP19-1	proliferative
SLC7A4	proliferative
SLC24A4	proliferative
ASB4	proliferative
ST3GAL6-AS1	proliferative
EFR3B	proliferative
NKAIN1	proliferative
CASKIN1	proliferative
LDLRAD4	proliferative
WNK2	proliferative
TKTL1	proliferative
RAB17	proliferative
KNDC1	proliferative
TESK2	proliferative
CHN2	proliferative
SLC7A8	proliferative
FGD4	proliferative
CRTAC1	proliferative
PPARGC1A	proliferative
RP11-527H14.2	proliferative
FAM134B	proliferative
RASEF	proliferative
ACAN	proliferative
CHST6	proliferative
TFCP2L1	proliferative
HMCN1	proliferative
RP3-395M20.8	proliferative
PNMAL1	proliferative
RP3-527G5.1	proliferative
PIP5K1B	proliferative
IL12RB2	proliferative
TENM1	proliferative
RPS6KA2	proliferative
CECR2	proliferative
VGF	proliferative
BCAN	proliferative
ADCY1	proliferative
RAB3C	proliferative
CLDN14	proliferative
RP11-481A20.11	proliferative
MERTK	proliferative
LINC00937	proliferative
LINC00504	proliferative
CCL18	proliferative
RXRG	proliferative
PHACTR1	proliferative
CARD14	proliferative
QPCT	proliferative
GRASP	proliferative
DLL3	proliferative
PKLR	proliferative
LRGUK	proliferative
C1orf51	proliferative
TEX15	proliferative
B4GALNT3	proliferative
KIAA1211	proliferative
PELI2	proliferative
POU3F2	proliferative
PRKCB	proliferative
HCG20	proliferative
RP11-98L5.2	proliferative
DISC1FP1	proliferative
RP11-317M11.1	proliferative
KBTBD11	proliferative
LAMC3	proliferative
RP11-557H15.4	proliferative
MPZ	proliferative
AC011294.3	proliferative
RENBP	proliferative
PRUNE2	proliferative
LAMA1	proliferative
B3GAT1	proliferative
TINCR	proliferative
NDN	proliferative
TTYH2	proliferative
CTB-151G24.1	proliferative
TC2N	proliferative
SLC16A6	proliferative
RP11-143A12.3	proliferative
LINC00518	proliferative
MFI2	proliferative
PRODH	proliferative
GOLGA7B	proliferative
POU3F1	proliferative
CDH3	proliferative
GPM6A	proliferative
NR4A3	proliferative
MAPT	proliferative
LARGE	proliferative
LRP2	proliferative
LPL	proliferative
TMPRSS5	proliferative
RLBP1	proliferative
GNG7	proliferative
ACP5	proliferative
RP11-93B14.5	proliferative
FAM167B	proliferative
EDNRB	proliferative
TMC6	proliferative
LINC00426	proliferative
CA8	proliferative
MYO16	proliferative
ST3GAL6	proliferative
CITED1	proliferative
RASGEF1A	proliferative
AC009784.3	proliferative
DAPK1	proliferative
KIT	proliferative
GYG2	proliferative
PLEKHB1	proliferative
AP000479.1	proliferative
TMPRSS13	proliferative
NUP210	proliferative
ALDH1A2	proliferative
ZNF536	proliferative
FAM19A5	proliferative
RGS1	proliferative
NKX2-5	proliferative
OPLAH	proliferative
TSPAN7	proliferative
KDR	proliferative
PLEKHH1	proliferative
SBK1	proliferative
FAM155B	proliferative
ITGA9	proliferative
BEST1	proliferative
KCNAB2	proliferative
RP11-2E17.1	proliferative
MAGEB2	proliferative
RP13-735L24.1	proliferative
TUBB8P7	proliferative
CPVL	proliferative
DENND1C	proliferative
MOB3B	proliferative
ST8SIA6	proliferative
WIPF3	proliferative
PRSS33	proliferative
CNTN1	proliferative
CCDC64	proliferative
APOD	proliferative
NRG3	proliferative
RP3-395M20.7	proliferative
AC009499.1	proliferative
PPP1R14C	proliferative
CAPN3	proliferative
SOX6	proliferative
MBP	proliferative
ISM1	proliferative
MITF	proliferative
CACNA1H	proliferative
RP4-718J7.4	proliferative
MGAT4A	proliferative
CPB2-AS1	proliferative
LRRC4B	proliferative
EXTL1	proliferative
SOX8	proliferative
CRYAB	proliferative
ROPN1B	proliferative
SYT3	proliferative
SGCA	proliferative
NAT8L	proliferative
RP11-509E16.1	proliferative
PMP2	proliferative
NMRK2	proliferative
AC004988.1	proliferative
GSTT1	proliferative
LINC00589	proliferative
RP11-189B4.6	proliferative
TYRP1	proliferative
FAM189A2	proliferative
ALDH3B2	proliferative
RP11-161M6.2	proliferative
RAB33A	proliferative
ZDHHC11B	proliferative
ROBO2	proliferative
SLC35F1	proliferative
RRAGD	proliferative
LINGO1	proliferative
RP11-290F20.3	proliferative
HSPB8	proliferative
RP11-669N7.2	proliferative
RP3-332B22.1	proliferative
CACNA1D	proliferative
SAMD5	proliferative
GFPT2	proliferative
ITGAX	proliferative
CPN1	proliferative
RP11-726G1.1	proliferative
MSI1	proliferative
