A375_Resist_BR15_1	A375_Resist_BR15_2	A375_Resist_BR2_resist2	A375_Resist_BR2_resist3	A375_Par_Par4A	A375_Par_Par5A
ADCK1	121	28	146	99	278	35
ADCK2	816	481	974	619	2724	515
ADCK3	1194	1137	1482	884	4515	933
ADCK4	1072	338	792	483	1965	295
ADCK5	237	83	139	77	471	91
ADCY1	88	96	66	35	667	104
ADCY10	0	1	4	2	9	2
ADCY10P1	17	11	45	63	123	22
ADCY2	0	0	0	0	0	0
ADCY3	1134	971	1318	830	6428	1192
ADCY4	0	0	0	0	4	0
ADCY5	0	1	0	1	11	1
ADCY6	1483	1007	1472	1172	4219	843
ADCY7	840	503	2373	1707	3551	714
ADCY8	0	3	0	0	2	1
ADCY9	747	420	652	475	2145	372
ADCYAP1	63	27	25	11	14	1
ADCYAP1R1	1	5	2	1	15	4
ADD1	3844	1490	4426	2896	11341	2495
ADD2	668	639	1139	733	1392	256
ADD3	1311	941	2678	1646	12178	3494
ADD3-AS1	0	0	3	1	15	3
ADGB	0	0	1	1	0	0
ADGRA1	1	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	453	235	499	397	1145	199
ADGRA3	816	942	1355	1191	5670	1390
ADGRB1	2	2	0	0	4	1
ADGRB2	408	245	400	258	1093	167
ADGRB3	28	3	51	23	3	0
ADGRD1	89	10	2	1	6	0
ADGRE1	622	299	840	505	1335	333
ADGRE2	52	65	267	188	385	30
ADGRE3	1	0	0	0	0	0
ADGRE4P	2	4	16	5	3	2
ADGRE5	921	1005	2552	1793	3584	453
ADGRF1	1	0	16	6	1645	368
ADGRF2	0	0	0	0	0	1
ADGRF3	1	0	1	0	5	0
ADGRF4	7	0	42	23	0	0
ADGRF5	0	0	0	2	0	2
ADGRG1	388	214	2033	1025	4025	495
ADGRG2	167	14	157	80	0	0
ADGRG3	0	1	1	4	1	1
ADGRG4	1	0	0	2	0	0
ADGRG5	33	4	135	94	81	8
ADGRG6	659	1399	1447	1049	4637	1314
ADGRG7	1	0	0	0	1	0
ADGRL1	1147	832	751	598	2624	346
ADGRL2	3356	1055	7075	5898	2600	688
ADGRL3	17	61	180	85	643	172
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	4	45	419	216	584	110
ADGRV1	18	314	225	245	2204	549
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	1	0
ADH1C	0	0	1	0	1	0
ADH4	0	0	0	0	0	0
ADH5	2028	1657	3118	1739	14407	4110
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	32	16	44	66	34	12
ADI1	1308	642	1736	1082	9381	2384
ADIG	3	1	1	2	2	1
ADIPOQ	0	0	0	1	2	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	2751	1988	4739	2979	16773	3848
ADIPOR2	1467	1185	3536	2439	10034	2455
ADIRF	22	1	9	2	16	5
ADK	281	278	1259	653	2978	845
ADM	76	45	197	145	833	181
ADM2	3	47	256	116	56	4
ADM5	51	27	60	50	315	36
ADNP	1005	911	2062	1479	5808	1108
ADNP-AS1	10	4	27	10	50	12
ADNP2	648	449	1115	603	3672	823
ADO	459	467	1120	718	3319	757
ADORA1	446	25	500	316	693	108
ADORA2A	3	1	2	11	6	1
ADORA2A-AS1	0	1	0	0	0	0
ADORA2B	161	205	611	376	2039	486
ADORA3	0	0	0	0	0	3
ADPGK	1276	796	1884	1093	5606	1444
ADPGK-AS1	7	1	2	1	16	6
ADPRH	76	64	223	160	614	115
ADPRHL1	184	28	208	108	257	52
ADPRHL2	754	377	1233	652	3799	840
ADPRM	211	138	557	337	1039	302
ADRA1A	0	0	0	0	0	0
ADRA1B	4	2	6	8	26	5
ADRA1D	22	3	35	24	6	1
ADRA2A	0	1	1	0	11	4
ADRA2B	0	0	0	0	3	0
ADRA2C	1	4	1	1	2	0
ADRB1	4	6	26	11	70	15
ADRB2	70	23	164	136	326	72
ADRB3	0	0	0	0	0	0
ADRBK1	1560	839	1419	885	6033	1128
ADRBK2	263	19	690	509	27	12
ADRM1	2843	1602	3236	1895	14291	2417
ADSL	1525	1660	3378	1711	14304	3899
ADSS	720	1025	2950	1637	9709	2372
ADSSL1	142	59	91	67	91	13
ADTRP	12	1	97	66	16	5
AEBP1	49	701	1342	1207	1315	191
AEBP2	219	318	1071	800	1925	355
AEN	1578	2359	2498	1701	17339	3715
AES	4218	2185	3909	2632	8691	1472
AFAP1	2177	1303	4104	2838	12891	2187
AFAP1-AS1	0	1	4	8	1	3
AFAP1L1	91	446	330	210	3719	884
AFAP1L2	114	556	759	273	3731	940
AFF1	473	196	1031	856	1346	218
AFF2	0	11	3	0	60	12
AFF3	16	28	41	32	77	18
AFF4	1970	2054	5483	3894	10934	2337
AFG3L1P	150	112	221	236	1117	235
AFG3L2	1658	1452	3112	1924	9284	2611
AFM	0	0	2	0	2	0
AFMID	163	179	324	190	1232	231
AFP	1	0	1	0	14	1
AFTPH	647	532	1878	1432	4977	1339
AGA	271	270	955	631	2142	604
AGAP1	378	359	975	785	2379	469
AGAP1-IT1	2	3	1	2	17	1
AGAP11	30	10	41	43	77	8
AGAP2	22	159	69	41	227	50
AGAP2-AS1	356	84	346	187	1094	186
AGAP3	1540	1064	1699	1114	4944	927
AGAP4	148	85	219	195	717	161
AGAP5	78	24	126	103	320	56
AGAP6	141	97	262	227	767	144
AGAP7P	75	27	142	115	373	66
AGAP9	173	84	234	270	742	169
AGBL1	41	4	16	13	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	97	23	41	38	63	14
AGBL3	17	17	41	37	69	24
AGBL4	0	0	0	0	3	1
AGBL4-IT1	0	0	0	0	0	0
AGBL5	987	355	1310	893	3902	923
AGBL5-AS1	3	0	1	1	2	0
AGER	16	11	12	25	65	8
AGFG1	516	667	1503	1209	5773	1297
AGFG2	472	146	437	372	1096	161
AGGF1	1054	626	2499	1560	6071	1704
AGK	685	588	1306	695	4240	1127
AGL	342	401	1539	1357	3706	933
AGMAT	2	0	0	0	1	0
AGMO	206	804	480	317	4550	1282
AGO1	1151	1184	3183	2036	8385	1391
AGO2	363	676	929	592	4895	1003
AGO3	341	319	1268	854	2630	659
AGO4	206	201	605	526	1599	429
AGPAT1	1459	681	1259	881	4443	553
AGPAT2	537	483	502	281	2833	458
AGPAT3	1964	878	2268	1477	5238	906
AGPAT4	159	128	398	349	364	98
AGPAT4-IT1	6	9	14	14	24	5
AGPAT5	426	540	1775	1215	6119	1693
AGPAT6	1221	790	1856	1358	5577	1228
AGPAT9	599	1256	2386	1775	13751	3576
AGPS	685	978	3739	2384	13323	3513
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	5018	935	7309	4911	6930	929
AGRP	0	0	0	0	0	0
AGT	119	5	147	95	0	0
AGTPBP1	273	408	1645	1118	3177	1014
AGTR1	0	10	14	9	57	20
AGTR2	0	0	0	0	0	0
AGTRAP	554	302	846	479	2531	420
AGXT	0	0	0	0	0	0
AGXT2	0	0	2	0	0	0
AHCTF1	1348	2457	5618	3710	20149	4890
AHCTF1P1	213	337	3074	1999	11141	2708
AHCY	4977	4165	6610	3232	23493	4965
AHCYL1	1468	1832	4963	3394	11936	2688
AHCYL2	461	264	603	414	1469	326
AHDC1	342	119	444	421	632	54
AHI1	174	243	705	672	1537	395
AHNAK	30191	12802	82857	76473	83145	15545
AHNAK2	4369	318	5379	5417	2830	471
AHR	1391	1286	3924	2617	14421	3730
AHRR	1187	479	534	494	1673	323
AHSA1	2179	1702	3075	1860	14460	3623
AHSA2	695	293	981	1328	1635	330
AHSG	1	0	1	0	0	0
AHSP	1	0	0	1	0	0
AICDA	0	0	0	0	2	1
AIDA	408	1026	2015	1188	3344	595
AIF1	0	0	1	0	0	0
AIF1L	455	410	1383	797	4228	1058
AIFM1	1766	933	1707	1068	5545	1427
AIFM2	316	118	421	287	1118	178
AIFM3	41	18	18	14	33	9
AIG1	539	201	616	369	622	150
AIM1	461	777	2572	1987	7586	1928
AIM1L	3	0	10	4	6	2
AIM2	37	206	247	121	1216	431
AIMP1	719	514	1693	1107	5144	1291
AIMP2	895	638	1702	893	6613	1554
AIP	1483	1080	1513	1079	6693	1623
AIPL1	0	0	0	0	1	0
AIRE	0	0	0	0	0	0
AIRN	0	0	0	0	0	0
AJAP1	7	25	486	338	955	164
AJUBA	1484	281	2423	1175	3113	589
AK1	1897	406	1519	980	2704	573
AK2	2380	2579	6728	3913	22410	5654
AK3	1014	497	2299	1287	3252	918
AK4	326	407	1499	952	6928	1643
AK5	35	6	19	13	408	86
AK6	86	129	495	337	1942	547
AK7	17	15	16	11	19	11
AK8	38	13	20	9	36	11
AK9	26	11	40	46	42	8
AKAP1	1218	615	2102	1589	6121	1205
AKAP10	778	672	1671	1110	4305	967
AKAP11	857	1031	4103	3064	8167	1981
AKAP12	2348	11304	4421	2321	50055	13941
AKAP13	2053	1029	2772	2256	5741	1137
AKAP14	0	0	0	0	0	0
AKAP17A	1550	438	1392	1122	5504	998
AKAP2	0	0	3	4	11	4
AKAP3	10	1	3	0	6	0
AKAP4	0	0	0	1	0	0
AKAP5	68	14	68	51	207	40
AKAP6	68	51	127	71	209	40
AKAP7	36	55	141	106	368	106
AKAP8	685	379	890	706	4139	823
AKAP8L	1216	762	1258	1092	3532	820
AKAP9	891	1009	4302	3807	10599	3082
AKIP1	385	161	518	261	1332	326
AKIRIN1	898	1169	2717	1750	7623	2106
AKIRIN2	152	103	404	273	922	157
AKNA	89	143	374	258	668	98
AKNAD1	5	4	29	24	74	18
AKR1A1	1071	681	1727	937	3826	955
AKR1B1	3001	665	9195	6495	10379	2637
AKR1B10	183	0	89	47	9	3
AKR1B15	7	0	3	2	1	0
AKR1C1	101	39	101	67	1144	293
AKR1C2	156	149	212	163	3326	883
AKR1C3	867	73	438	418	2100	551
AKR1C4	0	1	3	0	2	4
AKR1C6P	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0
AKR1D1	0	0	0	1	0	0
AKR1E2	0	1	4	3	23	2
AKR7A2	1138	674	1377	840	6320	1189
AKR7A2P1	0	0	6	3	35	6
AKR7A3	6	6	11	7	46	5
AKR7L	2	4	4	5	31	1
AKT1	2407	1377	2053	1292	9137	1989
AKT1S1	1476	783	1581	1278	4118	515
AKT2	2662	1222	2960	1938	10246	1871
AKT3	1810	2633	6655	4466	15925	4196
AKTIP	348	143	518	361	1067	310
ALAD	773	392	807	518	2203	439
ALAS1	859	712	1511	952	7273	1748
ALAS2	0	0	0	0	0	0
ALB	0	0	1	0	0	0
ALCAM	668	219	2787	1894	1704	524
ALDH16A1	902	636	868	531	4502	780
ALDH18A1	3057	2553	4860	2952	17131	4395
ALDH1A1	3	2	1	0	4	3
ALDH1A2	0	0	0	0	6	3
ALDH1A3	9787	17601	4926	2477	87509	23944
ALDH1B1	1315	586	1097	571	2962	600
ALDH1L1	9	2	1	2	9	2
ALDH1L1-AS1	0	0	0	0	0	0
ALDH1L1-AS2	0	0	0	0	1	0
ALDH1L2	73	738	1898	1234	1240	216
ALDH2	810	472	1445	897	1743	385
ALDH3A1	0	0	0	0	0	0
ALDH3A2	1081	600	1805	1152	6877	1912
ALDH3B1	2807	246	1613	1031	1038	157
ALDH3B2	3	0	0	0	1	0
ALDH4A1	784	309	372	231	1428	244
ALDH5A1	667	248	495	328	939	220
ALDH6A1	734	320	874	497	1021	325
ALDH7A1	1466	1322	1710	1079	4561	1153
ALDH8A1	5	0	8	14	5	0
ALDH9A1	1164	1218	3400	1911	9632	2440
ALDOA	21302	8849	25018	14027	84228	13140
ALDOB	0	0	0	0	1	0
ALDOC	737	482	1460	909	3217	845
ALG1	758	407	828	474	2844	551
ALG10	114	143	437	245	1184	233
ALG10B	163	359	858	596	1902	472
ALG11	79	84	276	234	541	139
ALG12	473	186	355	213	1142	213
ALG13	248	204	639	417	1970	494
ALG14	79	52	216	135	669	164
ALG1L	4	4	6	4	21	8
ALG1L2	59	12	51	36	163	48
ALG1L9P	32	11	54	30	43	10
ALG2	745	338	1030	730	2822	732
ALG3	617	233	633	334	1951	253
ALG5	333	398	866	472	3681	996
ALG6	50	168	358	248	1741	479
ALG8	716	549	1349	848	5573	1392
ALG9	219	196	569	402	1870	481
ALK	9	48	4	3	141	22
ALKBH1	208	159	390	241	1383	347
ALKBH2	318	499	583	397	2395	642
ALKBH3	352	284	742	502	2141	657
ALKBH3-AS1	0	0	0	0	0	0
ALKBH4	543	221	392	268	1572	301
ALKBH5	1979	1302	3121	2169	10851	1989
ALKBH6	402	117	265	169	943	152
ALKBH7	655	171	335	198	1120	172
ALKBH8	230	762	927	551	3745	1001
ALLC	0	0	1	0	0	0
ALMS1	597	604	1480	1035	6164	1296
ALMS1-IT1	6	10	15	9	100	30
ALMS1P	2	0	3	6	9	2
ALOX12	0	0	0	0	0	0
ALOX12-AS1	25	5	35	20	84	11
ALOX12B	14	11	13	7	11	1
ALOX12P2	4	0	3	1	3	1
ALOX15	0	0	0	2	0	0
ALOX15B	10	2	4	4	23	8
ALOX15P1	0	0	1	2	1	0
ALOX5	0	0	0	3	0	0
ALOX5AP	5	0	22	10	4	0
ALOXE3	9	2	21	13	8	0
ALPI	0	0	0	0	0	0
ALPK1	420	222	489	309	1205	396
ALPK2	1067	57	3969	2921	254	66
ALPK3	47	6	45	48	40	5
ALPL	0	6	2	2	32	6
ALPP	17	0	12	3	71	11
ALPPL2	5	0	0	0	10	1
ALS2	475	349	858	763	2506	561
ALS2CL	74	18	304	176	98	25
ALS2CR11	127	76	258	216	717	213
ALS2CR12	7	4	14	9	47	4
ALX1	157	122	206	179	1036	245
ALX3	0	1	0	1	0	0
ALX4	55	70	10	16	213	34
ALYREF	954	881	1250	813	10408	2350
AMACR	65	305	76	45	1213	271
AMBN	0	0	0	0	0	0
AMBP	2	0	2	0	23	6
AMBRA1	1070	539	1286	956	3400	635
AMD1	810	772	3226	2225	17284	4726
AMDHD1	9	2	2	6	21	7
AMDHD2	911	143	384	247	1387	225
AMELX	0	0	0	0	0	0
AMELY	0	0	0	0	0	0
AMER1	314	302	351	216	1571	292
AMER2	0	4	1	0	4	1
AMER3	0	0	0	0	0	0
AMFR	3383	1726	4698	2978	10516	2554
AMH	80	17	17	51	112	8
AMHR2	1	0	1	1	0	0
AMICA1	0	0	0	0	0	0
AMIGO1	173	123	201	166	422	98
AMIGO2	2318	325	8133	3122	6707	1390
AMIGO3	277	37	177	175	664	82
AMMECR1	186	222	519	373	2158	505
