A375_Resist_BR15_1	A375_Resist_BR15_2	A375_Resist_BR2_resist2	A375_Resist_BR2_resist3	A375_Par_Par4A	A375_Par_Par5A
NOX4	19	325	47	20	789	219
NOX5	14	2	30	11	24	5
NOXA1	88	21	57	60	34	3
NOXO1	9	1	2	2	14	0
NOXRED1	8	5	11	20	32	4
NPAP1	1	0	0	0	0	0
NPAS1	30	221	49	23	248	43
NPAS2	107	446	1542	1026	3833	506
NPAS3	41	12	23	27	46	8
NPAS4	2	0	0	0	0	0
NPAT	267	349	896	581	4066	1074
NPB	2	1	4	1	7	0
NPBWR1	70	4	12	14	0	0
NPBWR2	0	0	0	0	0	0
NPC1	584	794	1632	1148	2990	549
NPC1L1	0	2	8	7	1	1
NPC2	1481	566	1909	1018	5007	1186
NPDC1	962	319	406	271	947	94
NPEPL1	43	15	13	11	54	10
NPEPPS	2203	822	2724	1806	7768	1827
NPFF	4	1	4	5	13	2
NPFFR1	0	0	0	0	2	0
NPFFR2	2	5	17	9	57	21
NPHP1	74	57	162	114	422	110
NPHP3	31	18	91	68	284	89
NPHP3-ACAD11	3	7	20	38	50	28
NPHP3-AS1	0	0	1	0	1	0
NPHP4	271	270	453	261	1585	256
NPHS1	0	0	0	0	0	0
NPHS2	0	0	0	1	0	0
NPIPA1	368	212	420	340	1042	218
NPIPA2	0	0	0	0	0	0
NPIPA3	0	0	0	0	0	0
NPIPA5	287	160	289	226	651	145
NPIPA7	0	0	0	0	0	0
NPIPA8	0	0	0	0	0	0
NPIPB15	24	9	34	62	90	23
NPIPB3	144	85	157	248	776	101
NPIPB5	116	65	175	265	854	112
NPIPB6	36	7	37	94	49	4
NPIPB9	34	15	54	132	82	8
NPL	42	62	167	106	586	144
NPLOC4	2780	2000	3575	2598	12345	2639
NPM1	12385	17251	30370	17697	129405	36706
NPM2	0	0	0	1	1	0
NPM3	933	801	1163	587	4679	1189
NPNT	0	0	0	0	3	0
NPPA	0	0	0	0	0	0
NPPA-AS1	7	3	10	13	38	7
NPPB	0	0	1	0	0	0
NPPC	2	20	0	0	159	36
NPR1	8	10	9	2	19	4
NPR2	200	43	175	150	232	48
NPR3	3	1	31	7	0	0
NPRL2	730	270	814	558	2431	619
NPRL3	223	158	282	179	962	113
NPS	0	0	0	0	2	0
NPSR1	0	0	0	0	0	0
NPSR1-AS1	1	0	4	0	0	0
NPTN	1523	593	3019	1981	5970	1387
NPTN-IT1	14	25	55	62	208	27
NPTX1	1	1	0	1	11	3
NPTX2	785	20	173	45	194	32
NPTXR	304	50	381	268	243	26
NPVF	1	0	0	0	0	0
NPW	11	5	6	6	22	2
NPY	0	0	0	0	7	2
NPY1R	2	4	8	12	89	19
NPY2R	0	0	32	16	0	0
NPY4R	5	0	14	7	0	0
NPY5R	0	0	0	0	0	0
NPY6R	0	0	2	2	1	0
NQO1	4956	4819	5532	3231	93428	25967
NQO2	419	225	502	334	1538	420
NR0B1	52	54	22	15	33	9
NR0B2	0	0	0	0	0	0
NR1D1	91	50	92	62	150	15
NR1D2	1088	732	4235	2630	6936	1957
NR1H2	2080	856	2320	1310	6646	1249
NR1H3	1518	247	1752	1328	1420	342
NR1H4	3	9	0	0	0	0
NR1I2	2	0	2	2	0	0
NR1I3	0	0	0	2	0	1
NR2C1	250	261	812	645	2225	602
NR2C2	579	296	1567	1041	3889	783
NR2C2AP	516	254	462	232	1991	426
NR2E1	0	5	0	0	21	7
NR2E3	4	7	4	5	29	1
NR2F1	218	38	142	102	183	27
NR2F1-AS1	91	26	192	63	169	47
NR2F2	612	93	475	303	1167	167
NR2F2-AS1	24	1	27	19	44	11
NR2F6	1982	974	2016	1293	7118	1268
NR3C1	2399	864	4562	2956	6625	1674
NR3C2	22	6	27	34	117	20
NR4A1	28	1311	129	72	2401	281
NR4A2	22	187	35	21	511	97
NR4A3	4	18	14	14	36	8
NR5A1	0	0	0	0	1	1
NR5A2	6	6	33	20	90	29
NR6A1	99	34	60	78	441	99
NRADDP	0	0	1	1	2	0
NRAP	0	0	0	0	1	0
NRARP	0	0	0	0	0	0
NRAS	903	1056	5126	3487	11950	3319
NRAV	233	89	310	211	787	241
NRBF2	331	201	728	444	1684	463
NRBP1	2492	1215	3047	1983	8636	2049
NRBP2	281	93	305	228	414	60
NRCAM	12	851	65	45	1995	548
NRD1	1420	1678	5450	4134	10402	2240
NRDE2	279	234	413	349	1474	342
NREP	968	592	2886	1549	2186	578
NREP-AS1	0	0	0	0	0	0
NRF1	191	198	274	211	1719	392
NRG1	1261	151	1083	808	60	12
NRG1-IT1	28	2	0	0	0	0
NRG1-IT3	0	0	0	0	0	0
NRG2	286	81	297	259	593	87
NRG3	5	5	47	43	2	1
NRG3-AS1	0	0	0	0	0	0
NRG4	7	3	5	0	6	1
NRGN	31	50	32	15	438	46
NRIP1	1830	1918	4574	3420	13423	3708
NRIP2	0	0	0	0	0	0
NRIP3	27	108	361	190	488	153
NRIR	0	0	1	0	2	0
NRK	2	0	0	0	0	0
NRL	16	7	10	6	66	14
NRM	82	79	74	53	622	71
NRN1	179	149	272	179	770	194
NRN1L	2	3	2	0	4	0
NRON	0	0	0	0	0	0
NRP1	3762	472	7770	6605	8909	1654
NRP2	873	1119	1621	1383	5886	1127
NRROS	14	29	35	25	161	26
NRSN1	0	0	0	0	0	0
NRSN2	1531	417	1443	776	1609	291
NRSN2-AS1	139	49	203	143	203	43
NRTN	8	25	12	10	103	17
NRXN1	17	6	5	2	27	0
NRXN2	3	1	35	17	5	1
NRXN3	2	5	6	2	92	12
NSA2	1597	969	2904	1933	9301	2839
NSD1	2696	2103	5106	3919	14994	3428
NSDHL	445	247	644	428	1800	334
NSF	1138	731	2809	1806	9095	2493
NSFL1C	673	491	1170	794	3719	594
NSFP1	368	205	979	628	3188	824
NSG1	7	4	1	0	14	4
NSL1	414	472	1382	950	4591	1310
NSMAF	648	566	1760	1270	4628	1121
NSMCE1	787	759	1302	574	3612	954
NSMCE2	264	213	637	376	2117	689
NSMCE4A	427	388	839	493	4468	1350
NSMF	1999	1001	1372	837	3703	515
NSRP1	168	287	602	522	1711	357
NSUN2	1544	1226	3545	2342	14923	3404
NSUN3	169	75	277	204	1075	288
NSUN4	394	620	958	662	2911	640
NSUN5	624	554	936	483	3834	629
NSUN5P1	791	211	618	654	1235	210
NSUN5P2	771	195	625	583	1259	201
NSUN6	143	139	444	321	1388	428
NSUN7	0	0	0	0	0	0
NT5C	824	562	909	626	3059	669
NT5C1A	1	22	8	7	38	16
NT5C1B	0	0	0	0	0	0
NT5C1B-RDH14	0	0	0	0	0	0
NT5C2	1087	547	2655	1714	4485	976
NT5C3A	193	271	805	491	2126	600
NT5C3B	1510	899	1791	1102	5722	1413
NT5DC1	470	256	630	389	1633	447
NT5DC2	448	274	1123	708	5405	1032
NT5DC3	215	391	1081	627	2908	570
NT5E	848	959	11488	8848	6811	1900
NT5M	62	82	50	34	289	53
NTAN1	485	200	621	401	2464	628
NTF3	3	0	0	0	0	0
NTF4	49	3	27	22	1	2
NTHL1	500	272	562	311	2438	484
NTM	4	45	151	60	787	173
NTM-IT	0	0	0	0	3	0
NTMT1	674	677	883	464	3910	774
NTN1	32	34	1	0	73	15
NTN3	33	3	23	11	1	1
NTN4	241	119	496	351	1052	240
NTN5	8	0	3	4	1	0
NTNG1	798	49	1309	961	102	19
NTNG2	167	36	110	69	107	18
NTPCR	580	340	787	488	2280	488
NTRK1	1	79	11	12	35	6
NTRK2	138	2	212	162	26	11
NTRK3	1	1	1	1	27	5
NTRK3-AS1	0	0	0	0	0	0
NTS	121	48	38	10	18	8
NTSR1	5	18	103	67	291	55
NTSR2	0	1	0	0	2	0
NUAK1	1006	129	1067	630	652	130
NUAK2	141	64	276	125	179	25
NUB1	1611	979	3971	2744	6524	1816
NUBP1	603	311	630	463	3207	839
NUBP2	1396	663	1081	533	4928	790
NUBPL	239	156	436	261	1311	309
NUCB1	5579	2060	4550	2885	8352	1361
NUCB1-AS1	0	0	0	0	0	1
NUCB2	450	170	637	447	1328	383
NUCKS1	3783	4617	17094	10072	54612	13544
NUDC	1499	1823	3263	2095	12612	2059
NUDCD1	502	529	1769	1038	7075	1910
NUDCD2	318	294	783	444	2667	723
NUDCD3	2664	1448	3171	1832	8681	1711
NUDT1	220	145	202	124	1643	357
NUDT10	20	5	15	11	62	19
NUDT11	165	70	209	120	639	154
NUDT12	265	192	789	449	1760	552
NUDT13	62	37	115	69	216	67
NUDT14	130	23	98	57	200	30
NUDT15	162	291	756	396	4372	1171
NUDT16	710	294	888	708	2182	431
NUDT16L1	1278	372	651	334	2215	377
NUDT16P1	0	0	0	0	1	0
NUDT17	367	89	313	203	367	84
NUDT18	226	52	109	62	240	36
NUDT19	406	471	1287	671	2776	593
NUDT2	365	156	456	251	1177	305
NUDT21	2143	2263	6640	4060	26047	6935
NUDT22	2194	671	1099	624	2804	563
NUDT3	54	48	31	50	271	36
NUDT4	27	18	43	18	142	27
NUDT4P1	0	0	0	0	0	0
NUDT4P2	0	0	0	0	0	0
NUDT5	909	673	1636	1125	6533	1682
NUDT6	81	43	115	77	439	130
NUDT7	41	33	108	93	142	49
NUDT8	57	39	35	19	162	34
NUDT9	211	134	359	270	947	248
NUDT9P1	4	3	9	12	4	1
NUF2	38	353	433	184	6249	1836
NUFIP1	196	202	451	309	1643	430
NUFIP2	1976	1761	6973	5004	18131	4177
NUGGC	0	0	2	2	5	0
NUMA1	6468	3114	6802	5256	15460	2413
NUMB	498	468	1173	990	1791	326
NUMBL	898	165	450	351	806	99
NUP107	786	832	2255	1202	11477	3158
NUP133	1513	1472	3548	2184	13838	3507
NUP153	909	1048	2316	1724	9252	1940
NUP155	1176	1791	3331	1859	16961	4347
NUP160	1110	2375	3216	2045	16021	3987
NUP188	1166	1395	1850	1219	12636	2059
NUP205	1520	2335	3876	2204	24404	6295
NUP210	476	266	741	638	1696	283
NUP210L	1	0	4	1	31	10
NUP210P1	0	0	0	0	0	0
NUP214	886	499	1050	682	3564	452
NUP35	142	121	438	251	2027	599
NUP37	566	768	1393	813	6066	1742
NUP43	885	997	2190	1122	8316	2108
NUP50	785	1275	2268	1489	10843	2532
NUP50-AS1	107	187	312	267	635	197
NUP54	265	349	1016	650	4304	1246
NUP62	966	543	1197	690	5303	821
NUP62CL	0	0	1	1	0	0
NUP85	539	502	633	386	3964	875
NUP88	996	1055	2489	1408	10973	3175
NUP93	1125	961	1981	1016	10448	2622
NUP98	2396	1970	4327	2667	16054	3572
NUPL1	649	1336	3203	2062	13946	3687
NUPL2	346	248	713	523	2508	627
NUPR1	380	44	1562	715	48	14
NUPR1L	5	0	0	0	0	1
NUS1	285	435	1500	1026	3312	762
NUSAP1	325	719	799	364	12908	3514
NUTF2	1771	657	2281	1301	6760	1290
NUTM1	0	0	0	0	3	1
NUTM2A	175	55	109	88	126	24
NUTM2A-AS1	114	94	265	166	729	196
NUTM2B	100	32	75	61	97	23
NUTM2B-AS1	132	119	309	237	862	176
NUTM2D	118	46	84	85	104	14
NUTM2F	0	1	0	0	0	1
NUTM2G	0	0	0	0	0	1
NVL	426	427	1117	669	4256	1119
NWD1	71	12	17	14	95	18
NWD2	0	0	1	0	22	5
NXF1	1024	568	1334	1310	3332	416
NXF2	0	0	0	0	0	0
NXF2B	0	0	0	0	0	0
NXF3	5	0	0	0	1	0
NXF4	0	0	0	0	0	0
NXF5	35	6	48	18	61	29
NXN	22	163	5	3	135	26
NXNL1	0	0	0	0	0	0
NXNL2	4	4	7	7	1	0
NXPE1	0	0	0	0	0	0
NXPE2	0	0	5	0	0	0
NXPE3	1117	463	2579	2080	4502	824
NXPE4	0	0	0	0	0	0
NXPH1	1	1	0	1	0	0
NXPH2	1090	38	2	2	49	12
NXPH3	0	2	2	4	3	1
NXPH4	15	5	58	23	35	2
NXT1	297	234	591	279	2534	673
NXT2	138	47	170	120	898	254
NYAP1	7	11	19	36	58	14
NYAP2	13	0	7	3	1	0
NYNRIN	71	40	139	145	151	32
NYX	0	0	0	0	1	0
OACYLP	0	0	0	0	0	0
OAF	2312	1589	3928	2194	13365	2138
OARD1	174	157	441	288	1083	268
OAS1	531	115	138	95	768	178
OAS2	628	129	168	107	500	111
OAS3	940	499	513	287	3355	431
OASL	144	15	183	109	30	5
OAT	1509	1798	4337	2493	20101	5864
OAZ1	6651	2657	8626	4827	32656	7167
OAZ2	1203	582	1025	783	2368	549
OAZ3	15	7	17	10	43	14
OBFC1	507	507	1377	766	2993	917
OBP2A	0	0	1	0	0	0
OBP2B	0	0	0	0	0	0
OBSCN	126	192	374	371	543	103
OBSL1	3105	1614	2216	1501	7408	1478
OC90	0	0	0	0	0	0
OCA2	0	4	14	4	91	19
OCEL1	348	265	332	210	559	78
OCIAD1	1947	1485	4458	2807	10246	2627
OCIAD2	2	0	2	3	13	1
OCLM	4	4	9	7	32	4
OCLN	3	5	31	27	29	6
OCM	1	0	3	0	0	0
OCM2	0	0	2	0	0	0
OCRL	973	947	1705	1128	4053	1002
OCSTAMP	0	0	0	0	0	0
ODAM	0	0	0	0	0	0
ODC1	294	983	2642	1590	6449	1653
ODF1	0	0	0	0	0	0
ODF2	1117	1030	1493	917	7395	1813
ODF2L	153	143	629	499	1897	496
ODF3	0	0	0	0	0	0
ODF3B	89	11	15	19	5	1
ODF3L1	6	2	7	5	7	5
ODF3L2	3	0	2	2	3	0
ODF4	0	0	0	0	0	0
OFD1	341	287	856	729	2073	538
OGDH	1659	1439	3249	2563	6467	947
OGDHL	578	162	164	86	252	45
OGFOD1	1195	960	2716	1396	8848	2146
OGFOD2	592	368	518	371	1490	239
OGFOD3	1054	483	898	611	2267	392
OGFR	2481	1333	2040	1267	8118	1431
OGFR-AS1	2	1	1	5	2	0
OGFRL1	72	70	1439	679	771	209
OGFRP1	22	6	7	6	37	4
OGG1	490	148	751	496	1473	271
OGN	63	0	0	0	0	0
OGT	3026	1656	7612	6642	14688	3691
OIP5	51	117	146	67	1775	432
OIP5-AS1	688	474	1424	903	3418	892
OIT3	2	0	0	0	7	0
OLA1	1057	1185	2834	1635	7516	2032
OLAH	0	0	14	14	5	0
OLFM1	1	0	1	0	2	0
OLFM2	3	3	1	0	2	2
OLFM3	0	9	30	21	19	11
OLFM4	0	0	0	0	0	0
OLFML1	6	0	0	1	0	0
OLFML2A	147	60	295	161	1203	176
OLFML2B	108	4	39	9	9	3
OLFML3	63	27	103	66	307	43
OLIG1	1	1	3	1	17	4
OLIG2	15	110	107	63	395	88
OLIG3	0	0	0	0	0	0
OLMALINC	28	133	247	211	1034	243
OLR1	8	4	2	0	1	0
OMA1	301	238	826	639	3809	1208
OMD	0	0	0	0	2	0
OMG	0	0	0	0	0	0
OMP	1	5	1	0	12	1
ONECUT1	0	0	0	0	2	0
ONECUT2	17	4	60	55	79	21
ONECUT3	0	0	0	0	0	0
OOEP	0	0	0	0	0	0
OOSP1	1	0	1	1	6	3
OOSP2	0	0	0	0	2	0
OPA1	882	924	2662	1687	9231	2500
OPA1-AS1	0	0	0	0	0	0
OPA3	834	499	864	647	3862	794
OPALIN	0	0	0	0	0	0
OPCML	0	2	6	2	23	7
OPHN1	312	827	585	320	2125	571
OPLAH	107	83	220	138	274	46
OPN1LW	0	0	0	0	0	0
OPN1MW	0	0	0	0	0	0
OPN1MW2	0	0	0	0	0	0
OPN1SW	0	0	0	0	1	0
OPN3	63	92	305	175	686	158
OPN4	0	0	0	0	2	0
OPN5	0	0	0	0	0	0
OPRD1	0	61	21	11	964	162
OPRK1	0	0	0	0	0	0
OPRL1	94	39	62	62	74	24
OPRM1	0	0	0	0	0	0
OPTC	0	0	0	0	0	0
OPTN	1119	419	2918	2075	1761	446
OR10A2	0	0	0	0	0	0
OR10A3	0	0	0	0	0	0
OR10A4	0	0	0	0	0	0
OR10A5	0	0	0	0	0	0
OR10A6	0	0	0	0	0	0
OR10A7	0	0	0	0	0	0
OR10AD1	0	0	0	0	0	0
OR10AG1	0	0	0	0	0	0
OR10C1	0	0	0	0	0	0
OR10G2	0	0	0	0	0	0
OR10G3	0	0	0	0	0	0
OR10G4	0	0	0	0	0	0
OR10G7	0	0	0	0	0	0
OR10G8	0	0	0	0	0	0
OR10G9	0	0	0	0	0	0
OR10H1	0	0	1	0	0	0
OR10H2	0	0	0	0	0	0
OR10H3	0	0	0	0	0	0
OR10H4	0	0	0	0	0	0
OR10H5	0	0	0	0	0	0
OR10J1	0	0	0	0	0	0
OR10J3	3	0	1	0	0	0
OR10J5	0	0	0	0	0	0
OR10K1	0	0	0	0	0	0
OR10K2	0	0	0	0	0	0
OR10P1	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0
OR10R2	0	0	0	0	0	0
OR10S1	0	0	0	0	0	0
OR10T2	0	0	0	0	0	0
OR10V1	0	0	0	0	0	0
OR10V2P	0	0	0	0	0	0
OR10W1	0	0	0	0	0	0
OR10X1	0	0	0	0	0	0
OR10Z1	0	0	0	0	0	0
OR11A1	0	0	0	0	0	0
OR11G2	0	0	0	0	0	0
OR11H1	0	0	0	0	0	0
OR11H12	0	0	0	0	1	0
OR11H2	0	0	0	0	0	0
OR11H4	0	0	0	0	0	0
OR11H6	0	0	0	0	0	0
OR11L1	0	0	0	0	0	0
OR12D2	0	0	0	0	0	0
OR12D3	0	0	0	0	0	0
OR13A1	0	0	0	0	0	0
OR13C2	0	0	0	0	0	0
OR13C3	0	0	0	0	0	0
OR13C4	0	0	0	0	0	0
OR13C5	0	0	0	0	0	0
OR13C8	0	0	0	0	0	0
OR13C9	0	0	0	0	0	0
OR13D1	0	0	0	0	0	0
OR13F1	0	0	0	0	0	0
OR13G1	0	0	0	0	0	0
OR13H1	0	0	0	0	0	0
OR13J1	0	0	0	0	0	0
OR14A16	0	0	0	0	0	0
OR14C36	0	0	0	0	0	0
OR14I1	0	0	3	4	0	0
OR14J1	0	0	0	0	0	0
OR1A1	0	0	0	0	0	0
OR1A2	0	0	0	0	0	0
OR1B1	0	0	0	0	0	0
OR1C1	0	0	0	0	0	0
OR1D2	0	0	0	0	0	0
OR1D4	0	0	0	0	0	0
OR1D5	0	0	0	0	0	0
OR1E1	0	0	0	0	0	0
OR1E2	0	0	0	0	0	0
OR1F1	3	4	7	4	4	1
OR1F2P	0	0	2	3	0	1
OR1G1	0	0	0	0	0	0
OR1I1	0	0	0	0	0	0
OR1J1	0	0	0	0	0	0
OR1J2	0	0	0	2	0	0
OR1J4	0	0	2	0	1	0
OR1K1	0	0	0	0	0	0
OR1L1	0	0	0	0	0	0
OR1L3	0	0	0	0	0	0
OR1L4	0	0	0	0	0	0
OR1L6	0	0	0	0	0	0
OR1L8	0	0	0	0	0	0
OR1M1	0	0	0	0	0	0
OR1N1	0	0	0	0	0	0
OR1N2	0	0	0	0	0	0
OR1Q1	1	1	1	2	0	0
OR1S1	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0
OR2A1	0	0	0	0	0	0
OR2A1-AS1	10	2	16	12	23	9
OR2A12	0	0	0	0	0	0
OR2A14	0	0	0	0	0	0
OR2A2	0	0	0	0	0	0
OR2A20P	0	0	1	0	0	0
OR2A25	0	0	0	0	0	0
OR2A4	0	0	0	1	0	0
OR2A42	0	0	0	0	0	0
OR2A5	0	0	0	0	0	0
OR2A7	0	0	0	1	0	0
OR2A9P	0	0	2	2	0	0
OR2AE1	0	0	0	2	0	0
OR2AG1	0	0	0	1	1	0
OR2AG2	3	0	4	3	6	2
OR2AK2	0	0	2	2	1	0
OR2AP1	0	0	0	0	0	0
OR2AT4	0	0	0	0	0	0
OR2B11	0	0	0	0	0	0
OR2B2	0	0	0	0	0	0
OR2B3	0	0	0	0	0	0
OR2B6	11	0	2	5	0	0
OR2C1	2	0	0	0	0	0
OR2C3	0	0	0	0	1	0
OR2D2	2	0	0	0	1	2
OR2D3	0	0	0	0	0	0
OR2F1	0	0	0	0	0	0
OR2F2	0	0	0	0	0	0
OR2G2	0	0	0	0	0	0
OR2G3	0	0	0	0	0	0
OR2G6	0	0	0	0	0	0
OR2H1	0	0	0	0	0	0
OR2H2	0	0	0	0	0	0
OR2J2	0	0	0	0	0	0
OR2J3	0	0	0	0	0	0
OR2K2	0	0	0	0	0	0
OR2L13	2	1	33	24	7	3
OR2L1P	2	2	5	4	5	0
OR2L2	1	0	4	3	3	0
OR2L3	0	0	1	0	0	0
OR2L5	1	0	1	2	0	0
OR2L8	0	0	3	7	5	0
OR2M1P	0	1	1	0	0	0
OR2M2	0	1	0	0	0	0
OR2M3	0	0	1	1	0	0
OR2M4	0	0	1	0	0	0
OR2M5	0	0	0	0	0	0
OR2M7	0	0	0	0	0	0
OR2S2	0	0	1	1	0	0
OR2T1	0	0	0	0	0	0
OR2T10	0	0	0	0	0	0
OR2T11	0	0	0	0	0	0
OR2T12	0	0	0	0	1	0
OR2T2	0	0	1	0	0	0
OR2T27	0	0	0	0	0	0
OR2T29	0	0	0	0	0	0
OR2T3	0	0	1	0	0	0
OR2T33	3	1	7	3	11	4
OR2T34	0	0	1	0	0	0
OR2T35	0	0	1	0	0	0
OR2T4	0	0	0	0	0	0
OR2T5	0	0	0	0	0	0
OR2T6	0	0	0	0	0	0
OR2T8	1	2	9	5	28	8
OR2V1	0	0	0	0	0	0
OR2V2	0	0	0	0	0	0
OR2W1	0	0	0	0	0	0
OR2W3	19	7	56	34	139	20
OR2W5	0	0	0	0	0	0
OR2Y1	0	0	0	0	0	0
OR2Z1	0	0	0	0	0	0
OR3A1	3	0	0	0	4	0
OR3A2	1	1	1	0	9	1
OR3A3	1	0	0	0	3	1
OR3A4P	0	0	0	0	0	0
OR4A15	0	0	0	0	0	0
OR4A16	0	0	0	0	0	0
OR4A47	0	0	0	0	0	0
OR4A5	0	0	0	0	0	0
OR4B1	0	0	0	0	0	0
OR4C11	0	0	0	0	0	0
OR4C12	0	0	0	0	0	0
OR4C13	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0
OR4C16	0	0	0	0	0	0
OR4C3	0	0	0	0	0	0
OR4C45	0	0	0	0	0	0
OR4C46	0	0	0	0	0	0
OR4C6	1	0	0	0	0	0
OR4D1	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0
OR4D2	0	0	0	0	0	0
OR4D5	0	0	0	0	0	0
OR4D6	0	0	0	0	0	0
OR4D9	0	0	0	0	0	0
OR4E2	0	0	0	0	0	0
OR4F13P	1	0	0	0	2	0
OR4F15	0	0	0	0	4	0
OR4F16	0	0	0	0	0	0
OR4F17	0	0	0	0	0	0
OR4F21	0	0	2	2	3	0
OR4F29	0	0	0	0	0	0
OR4F3	0	0	0	0	0	0
OR4F4	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0
OR4F6	0	0	0	0	0	0
OR4K1	0	0	0	0	0	0
OR4K13	0	0	0	0	0	0
OR4K14	0	0	0	0	0	0
OR4K15	0	0	0	0	0	0
OR4K17	0	0	0	0	0	0
OR4K2	0	0	0	0	0	0
OR4K5	0	0	0	0	0	0
OR4L1	0	0	0	0	0	0
OR4M1	0	0	0	0	0	0
OR4M2	0	0	0	0	0	0
OR4N2	0	0	0	0	0	0
OR4N3P	0	0	0	0	1	0
OR4N4	0	0	0	0	0	0
OR4N5	0	0	0	0	0	0
OR4P4	0	0	0	0	0	0
OR4Q3	0	0	0	0	0	0
OR4S1	0	0	0	0	0	0
OR4S2	0	0	0	0	0	0
OR4X1	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0
OR51A2	0	0	0	0	0	0
OR51A4	0	0	0	0	0	0
OR51A7	0	0	0	0	0	0
OR51B2	25	7	22	18	67	7
OR51B4	299	51	382	196	321	76
OR51B5	812	231	718	308	1301	366
OR51B6	0	0	0	0	0	0
OR51D1	0	0	0	0	0	0
OR51E1	0	0	0	0	0	0
OR51E2	2	0	21	10	0	0
OR51F1	0	0	0	0	0	0
OR51F2	0	0	0	0	0	0
OR51G1	0	0	0	0	0	0
OR51G2	0	0	0	0	0	0
OR51I1	12	3	11	14	27	6
OR51I2	0	0	0	1	0	0
OR51L1	0	0	0	0	0	0
OR51M1	0	0	0	0	0	0
OR51Q1	0	0	0	0	0	0
OR51S1	0	0	0	0	0	0
OR51T1	0	0	0	0	0	0
OR51V1	0	0	0	0	0	0
OR52A1	0	0	0	0	0	0
OR52A5	0	0	0	0	0	0
OR52B2	0	0	0	0	0	0
OR52B4	0	0	0	0	0	0
OR52B6	0	0	0	0	0	0
OR52D1	0	0	0	0	0	0
OR52E2	0	0	0	0	0	0
OR52E4	0	0	0	0	0	0
OR52E6	0	0	0	0	0	0
OR52E8	0	0	0	0	0	0
OR52H1	0	0	0	0	0	0
OR52I1	0	0	0	0	0	0
OR52I2	0	0	0	0	0	0
OR52J3	0	0	0	0	0	0
OR52K1	0	0	0	0	0	0
OR52K2	0	0	0	0	0	0
OR52L1	0	0	0	0	0	0
OR52M1	0	0	0	0	0	0
OR52N1	0	0	0	0	0	0
OR52N2	1	0	1	0	0	0
OR52N4	0	0	0	0	0	0
OR52N5	0	0	0	0	0	0
OR52R1	0	0	0	0	0	0
OR52W1	0	0	0	0	0	0
OR56A1	0	0	0	0	0	0
OR56A3	0	0	0	0	0	0
OR56A4	0	0	0	0	0	0
OR56A5	0	0	0	0	0	0
OR56B1	0	0	0	0	0	0
OR56B4	0	0	0	0	0	0
OR5A1	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0
OR5AK2	0	0	0	0	0	0
OR5AK4P	0	0	0	0	0	0
OR5AN1	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0
OR5AS1	0	0	0	0	0	0
OR5AU1	0	0	0	0	0	0
OR5B12	0	0	0	0	1	0
OR5B17	0	0	0	0	0	0
OR5B2	0	0	0	0	0	0
OR5B21	1	0	1	3	1	0
OR5B3	0	0	0	0	0	0
OR5C1	0	0	0	0	0	0
OR5D13	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0
OR5D16	0	0	0	0	0	0
OR5D18	0	0	0	0	0	0
OR5E1P	0	0	0	0	0	0
OR5F1	0	0	0	0	0	0
OR5H1	0	0	6	6	1	0
OR5H14	1	0	2	1	1	0
OR5H15	0	0	4	2	0	0
OR5H2	0	0	0	1	0	0
OR5H6	0	0	1	1	0	0
OR5I1	0	0	0	0	0	0
OR5J2	0	0	0	0	1	0
OR5K1	0	0	0	0	0	0
OR5K2	0	0	0	0	0	0
OR5K3	0	0	0	0	0	0
OR5K4	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0
OR5M1	0	0	0	0	0	0
OR5M10	0	0	0	0	0	0
OR5M11	0	0	0	0	0	0
OR5M3	0	0	0	0	0	0
OR5M8	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0
OR5P2	0	0	0	0	0	0
OR5P3	0	0	0	0	0	0
OR5R1	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0
OR5V1	0	0	0	0	0	0
OR5W2	0	0	0	0	0	0
OR6A2	0	0	0	0	1	2
OR6B1	0	0	0	0	0	0
OR6B2	0	0	0	0	0	0
OR6B3	0	0	0	0	0	0
OR6C1	0	0	0	0	0	0
OR6C2	0	0	0	0	0	0
OR6C3	0	0	0	0	0	0
OR6C4	0	0	0	0	0	0
OR6C6	0	0	0	0	0	0
OR6C65	0	0	0	0	0	0
OR6C68	0	0	0	0	0	0
OR6C70	0	2	8	15	12	2
OR6C74	0	0	0	0	0	0
OR6C75	0	0	0	0	0	0
OR6C76	0	0	0	0	0	0
OR6F1	0	0	0	0	0	0
OR6K2	0	0	0	0	0	0
OR6K3	0	0	0	0	0	0
OR6K6	0	0	0	0	0	0
OR6M1	0	0	0	0	0	0
